,顧客ID,商品コード,売上単価,数量,売上,明細ID
612,2332530,1B2201,28080,1,28080,20001636244
620,2342092,200071,16200,1,16200,2050000006001
623,2342118,200071,16200,1,16200,60000738911
624,2342118,200006,8640,1,8640,60000738912
625,2352031,1B2201,28080,1,28080,20001633301
633,2412443,200006,8640,1,8640,550000202151
638,2412649,200006,8640,1,8640,380000322721
650,2412928,1B2201,28080,1,28080,20001634933
656,2412940,1B2201,28080,1,28080,20001628062
666,2413091,200006,8640,1,8640,1430000224311
671,2413105,1B2201,28080,1,28080,20001634333
675,2413108,1B2201,28080,1,28080,20001629281
692,2432182,1B2201,28080,1,28080,1430000225091
703,2451112,200006,8640,1,8640,20001632072
711,2452268,200071,16200,1,16200,20001628483
723,2512412,1B2201,28080,1,28080,530000901189
724,2512412,1B2201,28080,1,28080,530000901190
730,2512488,1B2201,28080,1,28080,20001629326
734,2512719,200006,8640,1,8640,20001633811
739,2512736,1A1601,82080,1,82080,20001629501
751,2522243,1A1501,105840,1,105840,20001630882
753,2522243,1B2201,28080,1,28080,20001630884
768,2552115,200071,16200,1,16200,20001636681
773,2610121,200006,8640,1,8640,20001633041
778,2612073,200006,8640,1,8640,820000262811
781,2612346,1B2201,28080,1,28080,20001637941
784,2612541,1B2201,28080,1,28080,20001630631
793,2612555,200006,8640,1,8640,20001628511
801,2612606,1A1501,105840,1,105840,20001635231
802,2612606,1B2201,28080,1,28080,20001635232
815,2630057,200006,8640,1,8640,1430000224281
825,2632193,200006,8640,1,8640,700000339591
845,2632263,1B2201,28080,1,28080,20001635301
853,2632279,200006,8640,1,8640,20001631321
874,2632519,1A1601,82080,1,82080,20001633102
886,2652252,1A1501,105840,1,105840,20001630301
898,2711224,1B2201,28080,1,28080,20001634711
901,2712524,200006,8640,1,8640,1430000220631
909,2722007,200006,8640,1,8640,20001636341
922,2722424,1B2201,28080,1,28080,20001629871
935,2722485,1B2201,28080,1,28080,320000505572
943,2752219,1B2201,28080,1,28080,20001628541
951,2752281,200006,8640,1,8640,20001632751
962,2812725,200006,8640,1,8640,20001638471
972,2812739,1A1501,105840,1,105840,20001634191
974,2812739,1B2201,28080,1,28080,20001634193
983,2812740,1A1501,105840,1,105840,20001637522
988,2812740,1B2201,28080,1,28080,20001637527
997,2852169,1B2201,28080,1,28080,20001630653
1011,2852369,200071,16200,1,16200,20001631422
1018,2912264,1B2201,28080,1,28080,20001629926
1023,2912282,200071,16200,1,16200,20001628551
1030,3112049,200071,16200,1,16200,30000234151
1037,3112049,1B2201,28080,1,28080,30000236172
1058,3342015,200071,16200,1,16200,30000235402
1067,3512047,200071,16200,1,16200,30000235392
1069,3632034,200006,8640,1,8640,30000234921
1076,3712033,1B2201,28080,1,28080,30000234306
1084,3722051,1B2201,28080,1,28080,30000235982
1101,5111146,200006,8640,1,8640,20001637981
1104,5141032,200071,16200,1,16200,20001630411
1106,5222012,200006,8640,1,8640,530000900991
1108,5332132,200006,8640,1,8640,1430000221741
1110,5342037,1B2201,28080,1,28080,530000902371
1140,5522050,1B2201,28080,1,28080,1120000058921
1162,5752067,200006,8640,1,8640,110000408721
1164,6112072,200006,8640,1,8640,320000507141
1175,6112433,1B2201,28080,1,28080,60000740423
1179,6112434,1A1601,82080,1,82080,60000734572
1201,6122048,1B2201,28080,1,28080,530000896871
1209,6122048,200006,8640,1,8640,530000903101
1211,6122292,200006,8640,1,8640,60000740651
1213,6122540,200006,8640,1,8640,60000736001
1237,6122762,1B2201,28080,1,28080,60000737202
1246,6122763,1B2201,28080,1,28080,60000739721
1253,6122772,200071,16200,1,16200,60000737851
1256,6122773,200071,16200,1,16200,60000738232
1260,6132191,200006,8640,1,8640,60000735872
1268,6132195,200006,8640,1,8640,60000736472
1276,6142101,200071,16200,1,16200,60000735661
1281,6152160,200006,8640,1,8640,60000738371
1289,6152195,1B2201,28080,1,28080,1310000052231
1299,6152221,1B2201,28080,1,28080,60000740153
1309,6152313,200006,8640,1,8640,60000734551
1323,6152550,1B2201,28080,1,28080,60000737702
1336,6152598,1B2201,28080,1,28080,60000737626
1349,6152634,1B2201,28080,1,28080,60000739562
1353,6152645,200006,8640,1,8640,60000738061
1355,6152647,200071,16200,1,16200,60000739791
1360,6152658,200006,8640,1,8640,60000740503
1384,6152671,1A1501,105840,1,105840,60000740282
1386,6152671,1B2201,28080,1,28080,60000740284
1389,6212125,200071,16200,1,16200,90000784541
1405,6212467,1B2201,28080,1,28080,290000366401
1410,6212477,200071,16200,1,16200,60000739181
1414,6212495,200006,8640,1,8640,160000640291
1418,6212514,200006,8640,1,8640,60000737721
1426,6212579,1B2201,28080,1,28080,60000735023
1432,6212579,1B2201,28080,1,28080,60000735029
1437,6212589,1A1501,105840,1,105840,60000735912
1466,6232230,200071,16200,1,16200,60000736551
1482,6232262,200006,8640,1,8640,60000735151
1487,6232262,1A1501,105840,1,105840,60000738381
1499,6232263,200006,8640,1,8640,60000736661
1513,6252219,1B2201,28080,1,28080,60000738763
1516,6252378,1B2201,28080,1,28080,60000734901
1535,6312116,200006,8640,1,8640,60000738661
1542,6312500,1B2201,28080,1,28080,60000736164
1556,6322157,200071,16200,1,16200,530000900781
1567,6322270,1B2201,28080,1,28080,60000738095
1578,6322338,1A1501,105840,1,105840,60000739862
1580,6322338,1B2201,28080,1,28080,60000739864
1582,6331012,200006,8640,1,8640,60000737591
1588,6332288,200006,8640,1,8640,60000736971
1590,6332295,1B2201,28080,1,28080,60000737831
1599,6342072,200071,16200,1,16200,60000738581
1627,6412190,200006,8640,1,8640,60000737111
1631,6412555,200006,8640,1,8640,850000603371
1657,6412675,1A1501,105840,1,105840,60000737772
1669,6412677,200071,16200,1,16200,60000739922
1681,6422007,200071,16200,1,16200,60000735521
1685,6422044,1A1501,105840,1,105840,60000736371
1697,6432044,200006,8640,1,8640,880000050481
1700,6432132,200071,16200,1,16200,60000736961
1708,6452136,1B2201,28080,1,28080,60000736814
1709,6452136,1B2201,28080,1,28080,60000736815
1719,6512336,1B2201,28080,1,28080,60000739191
1731,6512415,1A1601,82080,1,82080,60000739282
1739,6522053,200006,8640,1,8640,320000509561
1747,6552073,1A1501,105840,1,105840,60000738162
1761,6612107,200006,8640,1,8640,1430000227261
1770,6612346,200006,8640,1,8640,60000736781
1774,6612356,200006,8640,1,8640,60000739051
1780,6622158,200006,8640,1,8640,90000786091
1786,6622170,1B2201,28080,1,28080,60000738694
1789,6622194,1A1601,82080,1,82080,60000739411
1799,6632263,1B2201,28080,1,28080,60000738644
1802,6632266,200006,8640,1,8640,90000785382
1808,6632266,1B2201,28080,1,28080,90000785388
1816,6632289,200006,8640,1,8640,60000737051
1821,6632291,1B2201,28080,1,28080,60000734682
1844,6632299,1A1501,105840,1,105840,60000739272
1862,6652156,1A1601,82080,1,82080,60000739372
1887,6722275,1A1601,82080,1,82080,60000740412
1890,6732092,200071,16200,1,16200,60000736241
1894,6732092,1B2201,28080,1,28080,60000736245
1902,6752152,1A1501,105840,1,105840,60000738882
1914,6811119,200006,8640,1,8640,890000085361
1916,6812142,1B2201,28080,1,28080,290000367461
1924,6812330,200006,8640,1,8640,60000735811
1939,6812445,200006,8640,1,8640,60000738963
1950,6852232,200071,16200,1,16200,60000736872
1956,6912175,200006,8640,1,8640,60000737061
1958,6912175,200071,16200,1,16200,60000737063
1963,6922021,200006,8640,1,8640,60000735361
1968,7122101,200071,16200,1,16200,70000145122
1983,7152105,1A1501,105840,1,105840,70000144152
2007,7152107,200071,16200,1,16200,70000144961
2018,7232030,200071,16200,1,16200,70000145011
2023,7252061,1A1501,105840,1,105840,70000144002
2036,7252062,1A1501,105840,1,105840,70000144602
2047,7332035,200071,16200,1,16200,70000144371
2054,7512075,200006,8640,1,8640,70000144902
2069,7632028,1A1501,105840,1,105840,70000144592
2080,7722036,1A1501,105840,1,105840,70000144942
2097,7852032,1A1501,105840,1,105840,70000144192
2099,7852032,1B2201,28080,1,28080,70000144194
2109,8511077,200071,16200,1,16200,160000640671
2113,9111022,200006,8640,1,8640,90000787531
2117,9112082,200006,8640,1,8640,390000123741
2123,9112196,200071,16200,1,16200,90000787411
2129,9121106,1B2201,28080,1,28080,90000784274
2136,9122305,200006,8640,1,8640,60000737761
2142,9122365,200006,8640,1,8640,90000784812
2148,9132090,200071,16200,1,16200,60000734961
2157,9152287,1A1601,82080,1,82080,90000784852
2167,9212167,200006,8640,1,8640,60000735171
2179,9251021,200006,8640,1,8640,60000738151
2188,9252149,1B2201,28080,1,28080,90000782803
2189,9252149,1B2201,28080,1,28080,90000782804
2197,9252182,1A1501,105840,1,105840,90000785161
2208,9252183,200006,8640,1,8640,90000786471
2213,9312200,1B2201,28080,1,28080,90000785002
2224,9332119,200006,8640,1,8640,60000738101
2242,9432031,200006,8640,1,8640,90000784531
2248,9442018,200071,16200,1,16200,90000787701
2253,9451010,1B2201,28080,1,28080,90000787363
2272,9522045,1B2201,28080,1,28080,90000785903
2290,9622078,1A1501,105840,1,105840,90000784821
2309,9722100,200006,8640,1,8640,2050000006361
2315,9912085,200006,8640,1,8640,90000783241
2320,9912085,200071,16200,1,16200,90000783246
2324,9912089,1B2201,28080,1,28080,90000786493
2329,10112176,1A1501,105840,1,105840,100001129281
2344,10122291,200006,8640,1,8640,100001130041
2357,10312223,200071,16200,1,16200,100001130371
2364,10342016,200071,16200,1,16200,100001129693
2366,10412247,200071,16200,1,16200,100001129381
2375,10412249,200006,8640,1,8640,100001129101
2383,10711001,200071,16200,1,16200,100001130291
2397,10912073,1A1501,105840,1,105840,100001130031
2419,11122360,1A1501,105840,1,105840,110000408172
2426,11152276,200006,8640,1,8640,110000407661
2431,11212247,200006,8640,1,8640,110000407881
2432,11212247,200071,16200,1,16200,110000407882
2434,11212255,200006,8640,1,8640,110000407951
2436,11212259,1A1601,82080,1,82080,110000408871
2439,11222077,200006,8640,1,8640,880000051071
2445,11232096,1A1501,105840,1,105840,1940000027241
2449,11232096,1B2201,28080,1,28080,1940000027245
2459,11252154,200006,8640,1,8640,110000408021
2468,11322034,200006,8640,1,8640,150000393521
2474,11322116,200071,16200,1,16200,110000408392
2489,11412215,200006,8640,1,8640,110000407481
2496,11412288,1A1601,82080,1,82080,110000408971
2500,11432056,1B2201,28080,1,28080,530000900533
2502,11512028,200006,8640,1,8640,1430000221201
2511,11512196,1A1601,82080,1,82080,110000407303
2519,11612101,200006,8640,1,8640,110000407591
2534,11712051,200006,8640,1,8640,2010000017661
2539,11712147,1A1601,82080,1,82080,110000408641
2541,11732048,1A1501,105840,1,105840,110000408131
2543,11732048,1B2201,28080,1,28080,110000408133
2550,11812053,200006,8640,1,8640,20001632561
2556,11852086,200071,16200,1,16200,110000408431
2576,12512077,1B2201,28080,1,28080,120000238734
2585,12612073,1B2201,28080,1,28080,120000240582
2607,14122257,1B2201,28080,1,28080,140000853326
2631,14332142,200071,16200,1,16200,780000194211
2635,14412382,200006,8640,1,8640,2040000009561
2645,14512016,200006,8640,1,8640,140000850791
2669,14611024,200006,8640,1,8640,140000850051
2688,14722085,1B2201,28080,1,28080,140000852023
2714,15121015,200006,8640,1,8640,150000394731
2725,15132058,200006,8640,1,8640,150000391981
2727,15142028,1A1501,105840,1,105840,280000299591
2728,15142028,1B2201,28080,1,28080,280000299592
2736,15142041,200006,8640,1,8640,150000393012
2740,15152214,1B2201,28080,1,28080,380000323923
2748,15212197,200006,8640,1,8640,150000394211
2752,15212217,1A1501,105840,1,105840,150000394401
2758,15232086,200071,16200,1,16200,150000393231
2771,15332107,1A1601,82080,1,82080,150000392121
2776,15411006,1B2201,28080,1,28080,150000394101
2780,15412008,200006,8640,1,8640,60000737521
2790,15522058,200006,8640,1,8640,150000392351
2794,15552029,200006,8640,1,8640,550000201781
2796,15611002,200006,8640,1,8640,150000392851
2798,15612119,200006,8640,1,8640,150000394121
2800,15612149,1A1601,82080,1,82080,150000391971
2807,15652035,200006,8640,1,8640,150000393961
2811,15711008,1B2201,28080,1,28080,150000392422
2815,15712160,200006,8640,1,8640,1430000224511
2830,15812163,200006,8640,1,8640,150000392131
