,Unnamed: 0_x,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア,施術時間_x,Unnamed: 0_y,キャンセル回数,Unnamed: 0_x,コンタクト回数,Unnamed: 0_y,問い合わせ回数,滞在時間,閲覧ページ総数,閲覧ページ数/セッション,指名回数_nan,指名回数_あり,指名回数_なし,指名回数_削除,指名回数_空欄,コース受諾回数_nan,コース受諾回数_あり,コース受諾回数_なし,コース受諾回数_削除,コース受諾回数_空欄,紹介カード受渡回数_nan,紹介カード受渡回数_あり,紹介カード受渡回数_なし,紹介カード受渡回数_空欄,治療送客回数_nan,治療送客回数_あり,治療送客回数_なし,治療送客回数_空欄,院長挨拶回数_nan,院長挨拶回数_あり,院長挨拶回数_なし,院長挨拶回数_空欄,施術時間_y,性別_nan,性別_女,性別_男,性別_空欄,携帯TEL_有,携帯TEL_無,携帯TEL_空欄,自宅TEL_有,自宅TEL_無,自宅TEL_空欄,携帯メール_有,携帯メール_無,携帯メール_空欄,PCメール_有,PCメール_無,PCメール_空欄,職業_nan,職業_その他,職業_パート・アルバイト,職業_主婦,職業_会社員,職業_学生,職業_自営業,職業_空欄,生年月日,登録区分_CC,登録区分_HP,登録区分_店舗,登録区分_空欄
49,45,1110167,1B2102,0,1,0,150000393271,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,46,1110167,600019,1944,1,1944,150000393272,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,47,1110167,015600031,324,2,648,150000393273,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,48,1120290,5A0014,0,1,0,20001632861,0,120,,,,,,,,,,1,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,49,1120290,1B2203,0,1,0,530000896221,0,120,,,,,,,,,,1,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,50,1120290,300004,540,1,540,530000896222,0,120,,,,,,,,,,1,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,51,1120350,200006,8640,1,8640,60000740121,1,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,52,1120350,300004,540,1,540,60000740122,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,53,1120350,600090,1404,1,1404,60000740123,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,54,1120350,600065,1047,1,1047,60000740124,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,55,1120350,400021,-864,1,-864,60000740125,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,56,1150376,1B2202,0,1,0,20001631611,0,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,57,1150376,1B2203,0,1,0,20001631612,0,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,58,1150376,1B2295,0,1,0,20001631613,0,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,59,1150376,300004,540,1,540,20001631614,0,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,60,1150376,1B2201,28080,1,28080,20001631615,4,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,61,1150376,400543,-2160,2,-4320,20001631616,0,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,62,1150376,200035,2160,2,4320,20001631617,0,75,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,63,1150435,200073,8640,1,8640,530000898141,0,30,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,64,1150435,300014,5400,1,5400,530000898142,0,30,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,65,1150435,400021,-1728,1,-1728,530000898143,0,30,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,66,1310100,200006,8640,1,8640,20001632251,1,90,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,67,1310100,200073,8640,1,8640,20001632252,0,90,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,68,1310100,300017,3240,1,3240,20001632253,0,90,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,69,1310100,300011,2160,1,2160,20001632254,0,90,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,70,1310100,600095,2376,1,2376,20001632255,0,90,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,71,1321014,200006,8640,1,8640,1430000225961,1,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,72,1321014,200073,8640,1,8640,1430000225962,0,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,73,1321014,300013,1080,1,1080,1430000225963,0,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,74,1511020,1B2102,0,1,0,20001630871,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,75,1511020,300004,540,1,540,20001630872,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,76,1511020,600022,2376,1,2376,20001630873,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,77,1730012,1B2201,28080,1,28080,1430000221561,4,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,78,1730012,1B2202,0,1,0,1430000221562,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,79,1730012,400543,-2214,2,-4428,1430000221563,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,80,1730012,200035,2160,1,2160,1430000221564,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,81,1730012,300012,2160,1,2160,1430000221565,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,82,1730012,300011,2160,1,2160,1430000221566,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,83,1730012,200082,2268,1,2268,1430000221567,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,84,1730012,1B2203,0,1,0,1430000224471,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,85,1730012,300004,540,1,540,1430000224472,0,90,,,,,,,,,,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,86,1811022,T00001,540,1,540,1370000029711,0,120,,,,,,,,,,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,87,1811022,200020,10800,1,10800,1370000029712,0,120,,,,,,,,,,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,88,1811022,200021,0,1,0,1370000030271,0,120,,,,,,,,,,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,89,1811022,200020,10800,1,10800,1370000030272,0,120,,,,,,,,,,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,90,2110094,1B2102,0,1,0,20001634751,0,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,91,2110094,200073,8640,1,8640,20001634752,0,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,92,2110094,400021,-864,1,-864,20001634753,0,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,93,2110094,300004,540,1,540,20001634754,0,75,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,94,2110175,1B2102,0,1,0,20001629531,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,95,2110175,300017,3240,1,3240,20001629532,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,96,2110175,600090,1404,1,1404,20001629533,0,60,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,97,2112136,200071,16200,1,16200,1430000219561,2,45,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,98,2112136,1435A0088,710,1,710,1430000219562,0,45,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,99,2112136,300011,2160,1,2160,1430000219563,0,45,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,100,2112136,300013,1080,1,1080,1430000219564,0,45,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,101,2112136,200080,1944,2,3888,1430000219565,0,45,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,102,2112136,200081,2052,2,4104,1430000219566,0,45,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,103,2112528,200006,8640,1,8640,20001635061,1,60,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
