,顧客ID,状況,指名区分,予約回数
207,002522244,予確済,なし,2
208,002522245,予確済,なし,1
209,002522245,取消,なし,6
210,002552115,予確済,なし,1
211,002552161,予約,なし,1
212,002610121,予約,なし,2
213,002612346,予確済,なし,1
214,002612568,予確済,なし,1
215,002612568,予約,なし,1
216,002612583,予確済,なし,1
217,002612606,予確済,なし,2
218,002612606,予約,なし,4
219,002612607,予確済,なし,1
220,002622078,予約,なし,1
221,002630057,予確済,なし,1
222,002631145,予確済,なし,1
223,002631152,予確済,なし,1
224,002631152,予約,なし,1
225,002632193,予確済,なし,2
226,002632193,予約,なし,1
227,002632206,予約,あり,1
228,002632237,予約,なし,1
229,002632279,予約,なし,1
230,002632507,予確済,なし,2
231,002632507,予約,なし,1
232,002632517,予約,なし,3
233,002632518,予確済,なし,1
234,002632519,予確済,なし,2
235,002632519,予約,なし,4
236,002652165,予約,あり,1
237,002652252,予確済,なし,2
238,002652252,予約,なし,3
239,002711224,予確済,なし,1
240,002712524,予約,なし,1
241,002722349,予約,あり,1
242,002722349,予約,なし,6
243,002722379,予確済,なし,1
244,002722424,予約,なし,1
245,002722451,予約,なし,1
246,002752182,予約,なし,1
247,002752219,予約,あり,3
248,002812133,予確済,なし,1
249,002812166,予約,なし,1
250,002812277,予約,なし,1
251,002812718,予確済,なし,1
252,002812718,予約,なし,1
253,002812718,取消,なし,1
254,002812725,予確済,なし,1
255,002812738,予確済,なし,1
256,002812738,予約,なし,1
257,002812738,取消,なし,1
258,002812739,予確済,なし,2
259,002812739,予約,なし,5
260,002812740,予確済,なし,1
261,002812740,予約,なし,5
262,002852169,予約,なし,3
263,002852345,予約,なし,1
264,002852368,予確済,なし,2
265,002852368,予約,なし,2
266,002852368,取消,なし,2
267,002852369,予確済,なし,1
268,002852369,予約,なし,1
269,002852369,取消,なし,1
270,002912118,予約,なし,1
271,002912264,予約,なし,1
272,002912316,予約,あり,1
273,003112049,予確済,なし,3
274,003112049,予約,なし,1
275,003122063,予確済,なし,1
276,003122063,取消,なし,1
277,003122063,変更取消,なし,1
278,003122077,予確済,なし,1
279,003122083,予約,なし,1
280,003122090,予約,なし,1
281,003210149,予約,なし,1
282,003222027,予確済,なし,1
283,003222028,予約,なし,1
284,003332053,予確済,なし,1
285,003332053,予約,なし,1
286,003342015,予確済,なし,2
287,003342015,予約,なし,1
288,003412085,予確済,なし,1
289,003412085,予約,なし,1
290,003452002,予確済,なし,1
291,003452010,取消,なし,1
292,003512047,予確済,なし,1
293,003512047,取消,なし,1
294,003632034,予確済,なし,1
295,003712033,予確済,なし,1
296,003722051,予確済,なし,2
297,003722051,予約,なし,1
298,003812035,予確済,なし,1
299,003812035,変更取消,なし,1
300,003812036,予確済,なし,3
301,003812036,予約,なし,1
302,005111146,予確済,なし,1
303,005141032,予確済,なし,1
304,005222012,予確済,なし,1
305,005332132,予確済,なし,1
306,005342037,予確済,なし,1
307,005411031,予約,あり,2
308,005412116,予確済,なし,1
309,005511131,予約,なし,1
310,005522020,予約,なし,1
311,005522050,予確済,なし,1
312,005652029,予約,なし,1
313,005711086,予確済,なし,1
314,005711086,予約,なし,1
315,005711086,取消,なし,1
316,006112072,予確済,なし,1
317,006112114,予確済,なし,1
318,006112114,予約,なし,1
319,006112388,予確済,なし,1
320,006112388,変更取消,なし,2
321,006112396,予確済,なし,1
322,006112433,予確済,あり,1
323,006112433,予約,あり,1
324,006112434,予確済,なし,2
325,006112434,変更取消,なし,1
326,006112435,予確済,なし,1
327,006112435,取消,なし,1
328,006112436,予確済,なし,2
329,006112436,予約,なし,1
330,006121155,予確済,なし,1
331,006122048,予確済,あり,2
332,006122048,取消,あり,1
333,006122048,取消,なし,1
334,006122292,予確済,なし,1
335,006122540,予確済,なし,4
336,006122632,予約,なし,1
337,006122698,予確済,あり,1
338,006122735,予確済,なし,1
339,006122736,予確済,なし,1
340,006122762,予確済,なし,1
341,006122762,予約,なし,1
342,006122762,変更取消,なし,1
343,006122763,予確済,なし,1
344,006122773,予確済,なし,1
345,006132191,予約,なし,1
346,006132195,予確済,なし,3
347,006132195,取消,なし,1
348,006141027,予確済,なし,1
349,006142101,予確済,なし,1
350,006152160,予確済,なし,1
351,006152189,予確済,なし,1
352,006152189,予約,なし,1
353,006152195,予約,なし,2
354,006152221,予確済,なし,1
355,006152221,予約,あり,1
356,006152221,変更取消,なし,1
357,006152301,予確済,なし,1
358,006152313,予約,あり,1
359,006152332,予確済,なし,1
360,006152517,予確済,なし,2
361,006152550,予確済,なし,2
362,006152550,予約,なし,1
363,006152550,変更取消,なし,1
364,006152598,予確済,なし,2
365,006152598,予約,あり,1
366,006152598,予約,なし,1
367,006152634,予約,なし,1
368,006152645,予確済,なし,1
369,006152645,予約,なし,1
370,006152647,予確済,なし,1
371,006152658,予確済,なし,1
372,006152658,変更取消,なし,1
373,006152667,予約,なし,1
374,006152668,予確済,なし,1
375,006152668,予約,なし,1
376,006152669,予約,なし,1
377,006152670,予確済,なし,1
378,006152670,予約,なし,1
379,006152671,予確済,なし,1
380,006152671,予約,なし,3
381,006212125,予確済,なし,2
382,006212125,予約,なし,2
383,006212360,予確済,なし,1
384,006212360,予約,あり,1
385,006212398,予約,あり,1
386,006212467,予約,なし,1
387,006212495,予確済,なし,1
388,006212514,予約,なし,2
389,006212579,予約,なし,1
390,006212589,予確済,なし,1
391,006212589,仮予約,なし,1
392,006212590,予確済,なし,1
393,006222236,予確済,なし,1
394,006222236,取消,なし,1
395,006232219,予確済,なし,1
396,006232219,予約,なし,1
397,006232244,取消,なし,1
398,006232260,予確済,なし,1
399,006232262,予確済,なし,3
400,006232262,予約,なし,2
401,006232262,取消,なし,1
402,006232262,変更取消,なし,2
403,006232263,予確済,なし,3
404,006232263,変更取消,なし,1
405,006252378,予確済,なし,1
406,006252378,予約,なし,1
407,006252382,予確済,あり,1
408,006252391,予確済,なし,1
409,006252391,予約,なし,2
410,006252391,取消,なし,1
411,006312116,予約,あり,1
412,006312500,予約,あり,1
413,006312535,予確済,なし,2
414,006312535,取消,なし,1
415,006312559,予確済,なし,1
416,006312559,予約,なし,1
417,006312570,予約,なし,1
418,006322157,予確済,なし,1
419,006322190,予確済,なし,1
420,006322190,変更取消,なし,1
421,006322269,予確済,なし,1
422,006322270,予確済,なし,1
423,006322270,予約,なし,1
424,006322270,変更取消,なし,2
425,006322334,予約,あり,1
426,006322338,予確済,なし,1
427,006322338,予約,なし,2
428,006331012,予確済,なし,1
429,006332200,予確済,あり,1
430,006332288,予確済,なし,1
431,006332295,予約,なし,1
432,006342072,予確済,なし,1
433,006342072,予約,なし,1
434,006342084,予確済,なし,1
435,006412148,予約,なし,16
436,006412190,予約,あり,1
437,006412327,予約,なし,1
438,006412555,予確済,なし,1
439,006412644,予確済,なし,1
440,006412666,予確済,なし,1
441,006412670,予約,なし,1
442,006412675,予確済,なし,3
443,006412675,予約,なし,2
444,006412677,予確済,なし,2
445,006412678,予確済,なし,1
446,006412678,予約,なし,1
447,006422007,予確済,なし,1
448,006422044,予確済,なし,2
449,006422044,予約,なし,1
450,006422044,変更取消,なし,1
451,006432044,予確済,あり,1
452,006432132,予確済,なし,1
453,006452035,予確済,なし,1
454,006452136,予確済,なし,1
455,006452139,予確済,あり,1
456,006452139,予約,あり,1
457,006512348,予約,なし,2
458,006512415,予確済,なし,2
459,006512415,予約,なし,1
460,006522053,予確済,なし,1
461,006542018,予確済,なし,2
462,006552073,予確済,なし,3
463,006612107,予確済,なし,1
464,006612335,予約,なし,1
465,006612335,取消,あり,1
466,006612343,予確済,なし,1
467,006612343,変更取消,なし,1
468,006612346,予確済,なし,1
469,006612346,変更取消,なし,1
470,006612356,予確済,なし,1
471,006612356,予約,なし,1
472,006621006,予約,なし,1
473,006622158,予確済,なし,1
474,006622170,予約,あり,1
475,006622194,予確済,なし,2
476,006631018,予確済,なし,1
477,006632263,予約,あり,1
478,006632266,予約,なし,2
479,006632274,予確済,なし,2
480,006632274,予約,なし,1
481,006632289,予確済,なし,1
482,006632291,予確済,なし,2
483,006632291,予約,なし,1
484,006632294,予約,なし,1
485,006632296,予確済,なし,1
486,006632298,予確済,なし,2
487,006632298,変更取消,なし,1
488,006632299,予確済,なし,2
489,006632299,予約,なし,1
490,006652135,予確済,あり,1
491,006652135,予確済,なし,1
492,006652135,予約,あり,1
493,006652146,予約,なし,1
494,006652156,予確済,なし,2
495,006652156,予約,なし,2
496,006712061,予確済,なし,1
497,006712061,予約,なし,1
498,006712073,予確済,なし,1
499,006712234,予約,なし,1
500,006722126,予約,なし,1
501,006722275,予確済,なし,1
502,006722275,予約,なし,4
503,006732117,予確済,なし,1
504,006752152,予確済,なし,2
505,006752152,予約,なし,2
506,006811119,予確済,なし,1
507,006811119,変更取消,なし,1
508,006812142,予確済,なし,1
509,006812142,予約,あり,1
510,006812330,予確済,なし,1
511,006812417,予確済,なし,1
512,006812417,変更取消,なし,1
513,006812436,予約,なし,1
514,006812442,予確済,なし,2
515,006812442,取消,なし,1
516,006812445,予確済,なし,1
517,006852180,予確済,なし,1
518,006852232,予確済,なし,1
519,006912130,予確済,なし,1
520,006912175,予確済,なし,1
521,006922021,予確済,なし,1
522,006922021,予約,なし,1
523,006991031,予確済,なし,1
524,006991031,予約,なし,1
525,007122101,予確済,なし,1
526,007122101,予約,なし,1
527,007132022,予確済,なし,2
528,007152034,予確済,なし,1
529,007152105,予確済,なし,1
530,007152105,予約,なし,1
531,007152106,予確済,なし,2
532,007152107,予確済,なし,1
533,007152107,変更取消,なし,1
534,007212075,予約,なし,1
535,007212076,予確済,なし,1
536,007212076,予約,なし,1
537,007232028,予確済,なし,1
538,007232030,予確済,なし,1
539,007232030,予約,なし,1
540,007252061,予確済,なし,2
541,007252061,予約,なし,1
542,007252061,変更取消,なし,2
543,007252062,予確済,なし,2
544,007252062,予約,なし,3
545,007332035,予確済,なし,1
546,007332040,予確済,なし,1
547,007512075,予確済,なし,1
548,007512075,予約,なし,1
549,007622027,予約,なし,1
550,007632028,予確済,なし,2
551,007632028,予約,なし,2
552,007632028,仮予約,なし,1
553,007632028,変更取消,なし,2
554,007722036,予確済,なし,1
555,007752020,予確済,なし,1
556,007752020,予約,なし,2
557,007812052,予確済,なし,1
558,007812053,予確済,なし,2
559,007812053,変更取消,なし,1
560,007812054,予確済,なし,1
561,007812054,取消,なし,1
562,007852032,予確済,なし,1
563,007852032,予約,なし,1
564,007912024,予確済,なし,1
565,007912024,変更取消,なし,1
566,008511077,予確済,なし,1
567,009111022,予約,なし,2
568,009112196,予確済,なし,1
569,009121106,予確済,なし,2
570,009121106,予約,なし,1
571,009121106,取消,なし,1
572,009122300,予確済,なし,1
573,009122300,取消,なし,1
574,009122305,予確済,なし,1
575,009122352,予約,なし,1
576,009122365,予確済,なし,2
577,009132090,予約,なし,1
578,009152041,予確済,なし,2
579,009152041,取消,なし,1
580,009152287,予確済,なし,2
581,009152287,予約,なし,1
582,009152287,取消,なし,1
583,009152288,予確済,なし,2
584,009212167,予確済,なし,1
585,009212167,予約,なし,1
586,009212205,予確済,なし,1
587,009212205,予約,なし,1
588,009212273,予確済,なし,1
589,009232092,予約,なし,2
590,009251021,予確済,なし,1
591,009252084,予約,なし,1
592,009252149,予約,なし,1
593,009252182,予確済,なし,2
594,009252182,予約,なし,2
595,009252182,変更取消,なし,1
596,009252183,予確済,なし,1
597,009312200,予約,なし,1
598,009332109,予約,なし,1
599,009332119,予確済,なし,1
600,009332119,予約,なし,1
601,009412264,予確済,なし,2
602,009432031,予約,なし,1
603,009442018,予確済,なし,1
604,009451010,予約,なし,1
605,009452046,予約,なし,1
606,009522045,予約,あり,1
607,009551003,予確済,なし,1
608,009551003,予約,なし,1
609,009552041,予約,なし,2
610,009622078,予確済,なし,3
611,009622078,予約,なし,1
612,009712162,予確済,なし,3
613,009722100,予確済,なし,1
614,009722100,予約,あり,1
615,009722108,予確済,なし,1
616,009722108,予約,なし,1
617,009722108,変更取消,なし,1
618,009912085,予約,なし,1
619,009912089,予確済,なし,1
620,009922014,予確済,なし,1
621,009922014,予約,なし,1
622,010112176,予確済,なし,3
623,010112176,予約,なし,1
624,010122267,予確済,なし,1
625,010122291,予確済,なし,1
626,010212214,予約,なし,1
627,010221108,予約,あり,1
628,010312194,予確済,なし,1
629,010312194,予約,なし,1
630,010312223,予確済,なし,2
631,010312223,変更取消,なし,2
632,010321078,予確済,なし,1
633,010321078,予約,なし,1
634,010342016,予確済,なし,1
635,010342016,予約,なし,1
636,010412119,予確済,なし,1
637,010412119,変更取消,なし,1
638,010412249,予確済,なし,1
639,010412249,予約,なし,1
640,010612104,予確済,なし,1
641,010711001,予確済,なし,1
642,010712115,予確済,なし,1
643,010722089,予確済,なし,1
644,010722089,予約,なし,1
645,010852087,予確済,なし,1
646,010912073,予確済,なし,1
647,011112194,予確済,なし,1
648,011122167,予確済,なし,1
649,011122345,予約,なし,1
650,011122349,予確済,なし,1
651,011122349,予約,なし,1
652,011122352,予確済,なし,1
653,011122359,予約,なし,2
654,011122360,予確済,なし,1
655,011122360,予約,なし,3
656,011152198,仮予約,なし,1
657,011152276,予確済,なし,1
658,011212243,予確済,なし,1
659,011212247,予確済,なし,1
660,011212259,予確済,なし,1
661,011212259,予約,なし,4
662,011222077,予確済,あり,1
663,011232096,予確済,あり,1
664,011232096,予約,あり,1
665,011252075,仮予約,あり,1
666,011252154,予約,なし,1
667,011312019,予約,なし,1
668,011312218,予確済,あり,1
669,011312218,予約,あり,1
670,011322034,予確済,あり,1
671,011322099,予確済,あり,1
672,011322116,予確済,なし,1
673,011332112,予約,なし,1
674,011412285,予約,なし,1
675,011412288,予確済,なし,1
676,011412288,予約,なし,3
677,011432056,予約,なし,1
678,011512011,予確済,なし,1
679,011512028,予確済,なし,1
680,011512193,予約,なし,1
681,011512196,予確済,なし,2
682,011512196,予約,なし,1
683,011612101,予確済,なし,1
684,011612131,予約,あり,1
685,011612133,予確済,なし,1
686,011612133,予約,なし,1
687,011612135,予確済,なし,1
688,011612135,仮予約,なし,1
689,011612135,変更取消,なし,1
690,011632146,予約,なし,1
691,011632147,予約,なし,1
692,011712051,予確済,なし,1
693,011712140,予確済,なし,1
694,011712140,予約,なし,1
695,011712147,予確済,なし,1
696,011712147,予約,なし,4
697,011712147,取消,なし,1
698,011732048,予確済,なし,2
699,011732048,予約,なし,3
700,011812053,予確済,なし,1
701,011812053,予約,なし,1
702,011812151,予確済,なし,1
703,011812160,予約,なし,1
704,011852086,予確済,なし,1
705,011922006,予確済,なし,1
706,011922006,取消,なし,1
707,012151053,予約,なし,1
708,012152146,予確済,なし,1
709,012412144,予確済,なし,1
710,012412144,予約,なし,1
711,012512077,予確済,あり,1
712,012512077,予約,あり,1
713,012542009,予約,なし,1
714,012611018,予約,なし,1
715,012612073,予約,なし,1
716,012712077,予確済,なし,1
717,012712077,予約,なし,1
718,012722053,予約,なし,1
719,012812110,予約,なし,1
720,012812128,予確済,なし,1
721,014111048,予約,なし,1
722,014122257,予約,あり,2
723,014132111,予約,なし,1
724,014212302,仮予約,なし,1
725,014222079,予約,あり,1
726,014252067,予確済,なし,1
727,014312160,予約,なし,1
728,014332142,予確済,なし,1
729,014412382,予確済,なし,1
730,014412407,予確済,なし,1
731,014412407,予約,なし,1
732,014512016,予約,あり,1
