,顧客ID,指名回数,コース受諾回数,紹介カード受渡回数,治療送客回数,院長挨拶回数,施術時間
449,2252564,なし,なし,なし,なし,なし,
454,2252646,なし,なし,なし,なし,なし,
456,2252697,なし,なし,なし,なし,なし,
458,2252703,なし,なし,なし,なし,なし,
460,2252704,なし,なし,なし,なし,なし,
462,2252708,なし,なし,なし,なし,なし,
463,2252708,なし,なし,なし,なし,なし,
464,2252708,なし,なし,あり,なし,なし,
467,2252709,なし,なし,なし,なし,なし,
469,2252709,なし,なし,なし,なし,なし,
471,2311149,なし,なし,あり,なし,なし,
475,2312096,あり,なし,なし,なし,なし,
477,2312708,なし,あり,あり,なし,なし,
482,2312793,なし,あり,なし,なし,なし,
494,2312794,なし,なし,なし,なし,なし,
496,2312797,なし,なし,なし,なし,なし,
499,2312870,なし,なし,なし,なし,なし,
500,2312875,なし,なし,あり,なし,なし,
503,2312876,なし,なし,あり,なし,なし,
507,2312881,なし,あり,なし,なし,なし,
513,2312890,なし,なし,なし,なし,なし,
515,2312894,なし,あり,あり,なし,なし,
523,2312894,なし,なし,なし,なし,なし,
524,2312895,なし,あり,あり,なし,なし,
533,2312897,なし,なし,あり,なし,なし,
535,2321013,あり,なし,あり,なし,なし,
543,2322187,なし,あり,なし,なし,なし,
548,2322335,なし,なし,あり,なし,なし,
550,2322538,あり,なし,なし,なし,なし,
551,2322538,なし,なし,なし,なし,なし,
552,2322551,あり,なし,なし,なし,なし,
556,2322551,あり,なし,なし,なし,なし,
558,2322599,なし,なし,なし,なし,なし,
559,2322599,なし,なし,なし,なし,なし,
560,2322604,なし,なし,あり,なし,なし,
563,2322604,なし,なし,なし,なし,なし,
565,2322609,なし,あり,あり,なし,なし,
573,2322615,なし,なし,なし,なし,なし,
574,2322616,なし,なし,なし,なし,なし,
578,2322621,なし,なし,なし,なし,なし,
580,2322625,なし,あり,あり,なし,なし,
585,2322625,なし,なし,なし,なし,なし,
588,2322627,なし,なし,あり,なし,なし,
590,2322627,なし,なし,なし,なし,なし,
591,2322627,なし,あり,なし,なし,なし,
593,2322627,なし,なし,なし,なし,なし,
596,2332270,なし,なし,なし,なし,なし,
598,2332313,なし,あり,なし,なし,なし,
604,2332460,あり,あり,なし,なし,なし,
607,2332460,なし,なし,なし,なし,なし,
609,2332530,なし,あり,あり,なし,なし,
617,2332530,なし,なし,なし,なし,なし,
620,2342092,なし,なし,なし,なし,あり,
623,2342118,なし,なし,なし,なし,なし,
625,2352031,なし,あり,なし,なし,なし,
630,2411247,なし,なし,なし,なし,なし,
632,2411289,なし,なし,なし,なし,なし,
633,2412443,なし,なし,あり,なし,なし,
636,2412649,なし,なし,なし,なし,なし,
638,2412649,なし,なし,なし,なし,なし,
641,2412649,なし,なし,なし,なし,なし,
