,顧客ID,指名回数,コース受諾回数,紹介カード受渡回数,治療送客回数,院長挨拶回数,施術時間
4007,35512316,なし,なし,なし,なし,なし,
4011,35522092,あり,なし,なし,なし,なし,
4014,35612250,なし,なし,なし,なし,なし,
4015,35612250,なし,なし,なし,なし,なし,
4016,35612250,なし,なし,なし,なし,なし,
4017,35612250,なし,なし,なし,あり,なし,
4020,35612253,なし,なし,あり,なし,なし,
4022,35612265,なし,なし,なし,なし,なし,
4027,35612265,なし,なし,あり,なし,なし,
4030,35612268,なし,なし,なし,なし,なし,
4031,35622137,なし,なし,なし,なし,なし,
4032,35632184,あり,なし,なし,なし,なし,
4033,35632236,なし,なし,なし,なし,なし,
4035,35652054,なし,なし,なし,なし,なし,
4038,35652059,なし,あり,なし,なし,なし,
4040,35652059,なし,なし,なし,なし,なし,
4049,35712151,なし,なし,なし,なし,なし,
4054,35712287,なし,あり,あり,なし,なし,
4057,35712287,なし,なし,なし,なし,なし,
4065,35712289,なし,あり,あり,なし,なし,
4069,35712290,なし,あり,あり,なし,なし,
4073,35722007,なし,なし,なし,なし,なし,
4075,35722173,なし,なし,なし,あり,なし,
4077,35722173,なし,なし,なし,なし,なし,
4078,35722173,なし,なし,なし,なし,なし,
4079,35722176,なし,あり,なし,なし,なし,
4086,35722191,なし,なし,なし,なし,なし,
4088,35812289,なし,なし,なし,なし,なし,
4091,35812304,なし,なし,なし,なし,なし,
4092,35812304,なし,なし,なし,なし,なし,
4093,35812304,なし,なし,なし,なし,なし,
4094,35812304,なし,なし,なし,なし,なし,
4096,35812304,なし,なし,なし,なし,なし,
4097,35812309,なし,あり,あり,なし,なし,
4102,35852095,あり,なし,なし,なし,なし,
4105,35852170,あり,なし,なし,なし,なし,
4109,35852183,なし,なし,なし,なし,なし,
4116,35852185,なし,なし,なし,なし,なし,
4117,36112245,なし,なし,なし,なし,なし,
4119,36112247,なし,なし,あり,なし,なし,
4121,36112247,なし,なし,なし,なし,なし,
4124,36122398,あり,なし,なし,なし,なし,
4127,36122450,なし,あり,なし,なし,なし,
4131,36122479,なし,なし,なし,なし,なし,
4133,36122570,あり,なし,なし,なし,なし,
4135,36122580,なし,なし,なし,なし,なし,
4139,36132131,なし,あり,なし,なし,なし,
4142,36142042,あり,なし,なし,なし,なし,
4143,36152472,なし,なし,あり,なし,なし,
4145,36152472,あり,なし,なし,あり,なし,
4147,36212048,あり,あり,なし,なし,なし,
4150,36212128,あり,なし,なし,なし,なし,
4151,36222170,あり,なし,なし,なし,なし,
4154,36232144,なし,なし,なし,なし,なし,
4156,36232173,なし,なし,あり,なし,なし,
4161,36312347,なし,なし,なし,なし,なし,
4162,36322038,なし,なし,なし,なし,なし,
4164,36322150,なし,なし,なし,なし,なし,
4167,36322168,あり,なし,なし,なし,なし,
4169,36322168,なし,なし,なし,なし,なし,
4171,36322168,なし,なし,なし,なし,なし,
4173,36332219,なし,なし,あり,なし,なし,
4176,36352026,あり,なし,なし,なし,なし,
4179,36412369,なし,なし,なし,なし,なし,
4180,36442008,なし,なし,なし,なし,なし,
4181,36512216,あり,あり,なし,なし,なし,
4186,36512302,あり,なし,なし,なし,なし,
4189,36522052,あり,なし,なし,なし,なし,
4190,36522052,なし,なし,なし,なし,なし,
4191,36542033,あり,なし,あり,なし,なし,
4192,36612120,なし,あり,なし,なし,なし,
4199,36622083,なし,なし,なし,なし,なし,
4200,36622083,なし,なし,なし,なし,なし,
4205,36622088,なし,なし,なし,なし,なし,
4207,36622105,なし,なし,あり,なし,なし,
4209,36632109,あり,なし,なし,なし,なし,
4212,36632132,あり,なし,なし,あり,なし,
4214,36632142,あり,なし,なし,なし,なし,
4217,36632149,なし,あり,あり,あり,なし,
4220,36632149,なし,なし,なし,なし,なし,
4226,36712181,なし,なし,なし,なし,なし,
4227,36712181,あり,なし,あり,なし,あり,
4235,36712181,なし,なし,なし,なし,なし,
4236,36712187,なし,なし,なし,なし,なし,
4238,36722153,なし,あり,あり,なし,なし,
4241,36732014,あり,なし,なし,なし,なし,
4244,36732049,あり,なし,あり,なし,なし,
4252,36732049,なし,なし,なし,なし,なし,
4253,36812210,なし,なし,なし,なし,なし,
4254,36812210,なし,なし,なし,なし,なし,
4256,36812210,なし,なし,なし,なし,なし,
4259,36812266,なし,なし,なし,なし,なし,
4261,36812276,なし,なし,なし,なし,なし,
4263,36852148,なし,なし,あり,なし,なし,
4267,36852155,なし,なし,なし,なし,なし,
4269,36852155,あり,なし,なし,なし,なし,
4274,36912118,なし,なし,なし,なし,あり,
4280,36912118,なし,なし,なし,なし,なし,
4281,37112229,なし,なし,なし,なし,なし,
4284,37122094,なし,あり,なし,なし,なし,
4288,37122252,なし,なし,なし,なし,なし,
4290,37122481,なし,あり,なし,なし,なし,
4296,37122494,なし,あり,あり,なし,あり,
4300,37122494,なし,なし,なし,なし,あり,
4304,37122495,なし,なし,なし,なし,なし,
4306,37122495,なし,なし,なし,なし,なし,
4311,37122496,なし,なし,なし,なし,なし,
4314,37132166,なし,なし,なし,なし,なし,
4316,37142047,なし,なし,なし,なし,なし,
4318,37142074,なし,あり,あり,なし,あり,
4320,37142074,なし,なし,なし,なし,なし,
4323,37142074,なし,なし,なし,なし,なし,
4326,37152043,なし,なし,なし,なし,なし,
4331,37152362,なし,なし,なし,なし,なし,
4332,37152389,なし,なし,なし,なし,なし,
4336,37152394,なし,なし,あり,なし,なし,
4340,37152395,なし,あり,なし,なし,なし,
4344,37152395,なし,なし,なし,なし,なし,
4348,37212287,なし,なし,なし,なし,なし,
4349,37212326,なし,あり,なし,なし,なし,
4353,37212371,なし,なし,なし,なし,なし,
4356,37212371,なし,なし,なし,なし,なし,
4359,37212379,なし,なし,なし,なし,なし,
4360,37212380,なし,あり,あり,なし,なし,
4368,37212380,なし,なし,なし,なし,なし,
4373,37212381,なし,なし,あり,なし,なし,
4374,37212382,なし,あり,あり,なし,なし,
4376,37222064,あり,なし,なし,なし,なし,
4378,37222119,なし,なし,なし,なし,なし,
4379,37232174,あり,あり,なし,なし,なし,
4387,37232174,あり,なし,なし,なし,なし,
4388,37232180,なし,あり,あり,なし,なし,
4397,37232180,なし,なし,なし,なし,なし,
4398,37232180,なし,なし,なし,なし,なし,
4400,37240003,なし,なし,なし,なし,なし,
4402,37252024,なし,なし,なし,なし,なし,
4408,37252202,あり,あり,なし,なし,なし,
4413,37252219,なし,なし,なし,なし,なし,
4414,37252219,なし,なし,なし,なし,なし,
4417,37252220,なし,あり,あり,なし,なし,
4422,37252220,なし,なし,なし,なし,なし,
4426,37252220,なし,なし,なし,なし,なし,
4428,37252220,なし,なし,なし,なし,なし,
4431,37252221,なし,なし,なし,なし,なし,
4432,37252222,なし,なし,あり,なし,なし,
4433,37252223,なし,なし,あり,なし,なし,
4436,37252225,なし,なし,なし,なし,あり,
4440,37312102,なし,なし,なし,なし,なし,
4442,37312261,なし,なし,なし,なし,なし,
4445,37312263,なし,なし,なし,なし,なし,
4446,37312264,なし,なし,なし,なし,なし,
4449,37312268,なし,あり,あり,なし,あり,
4453,37312268,なし,なし,なし,なし,なし,
4458,37322098,なし,なし,なし,なし,なし,
4459,37322130,なし,なし,なし,なし,あり,
4461,37322187,なし,なし,なし,なし,なし,
4463,37322234,なし,なし,なし,なし,なし,
4465,37332076,なし,なし,なし,なし,なし,
4467,37332110,なし,なし,なし,なし,なし,
4469,37342032,なし,なし,なし,なし,なし,
4471,37412336,なし,なし,なし,なし,なし,
4472,37412472,なし,あり,なし,なし,なし,
4477,37452111,なし,なし,なし,なし,なし,
4480,37452116,なし,あり,あり,なし,あり,
4487,37452116,なし,なし,なし,なし,なし,
4493,37512077,なし,なし,なし,なし,あり,
4495,37512356,なし,あり,なし,なし,なし,
4502,37512363,なし,あり,あり,なし,なし,
4511,37512363,なし,なし,なし,なし,あり,
4512,37512363,なし,なし,なし,なし,なし,
4513,37512363,なし,なし,なし,なし,あり,
4515,37512364,なし,あり,なし,なし,あり,
4520,37512364,なし,なし,なし,なし,なし,
4524,37512366,なし,あり,なし,なし,なし,
4529,37512366,なし,なし,なし,なし,あり,
4533,37522060,なし,あり,なし,なし,なし,
4539,37522060,なし,なし,なし,なし,なし,
4542,37612201,なし,なし,あり,なし,なし,
4544,37612201,なし,なし,あり,なし,なし,
4546,37612289,なし,あり,なし,なし,なし,
4549,37612289,なし,なし,なし,なし,なし,
4552,37612289,なし,なし,なし,なし,なし,
4555,37612291,なし,あり,あり,なし,あり,
4559,37612291,なし,なし,なし,なし,なし,
4564,37622085,なし,なし,なし,なし,なし,
4566,37622197,なし,なし,あり,なし,なし,
4570,37622197,なし,なし,なし,なし,あり,
4573,37632264,なし,なし,なし,なし,なし,
4574,37632283,なし,なし,あり,なし,なし,
4576,37632283,なし,なし,なし,なし,あり,
4579,37632285,なし,あり,なし,なし,あり,
4588,37632285,なし,なし,なし,なし,なし,
4589,37632285,なし,なし,なし,なし,なし,
4592,37632286,なし,あり,あり,なし,なし,
4598,37632286,なし,なし,なし,なし,あり,
4602,37632286,なし,なし,なし,なし,なし,
4607,37632286,なし,なし,なし,なし,なし,
4608,37652083,なし,あり,あり,なし,なし,
4612,37652083,なし,なし,なし,なし,あり,
4616,37712115,なし,なし,なし,なし,なし,
4620,37712348,なし,なし,なし,なし,あり,
4621,37712348,なし,なし,なし,なし,あり,
4622,37712348,なし,なし,なし,なし,あり,
4623,37712364,なし,なし,なし,なし,なし,
4625,37712364,なし,なし,なし,なし,なし,
4630,37722036,あり,あり,なし,なし,なし,
4632,37722162,なし,なし,なし,なし,なし,
4634,37722193,なし,なし,なし,なし,なし,
4639,37722223,なし,なし,なし,なし,なし,
4641,37722223,なし,なし,なし,なし,なし,
4643,37752113,なし,なし,なし,なし,なし,
4647,37752113,なし,なし,なし,なし,なし,
4648,37812334,なし,なし,なし,なし,なし,
4651,37812334,なし,なし,なし,なし,なし,
4654,37812338,あり,なし,なし,なし,なし,
4658,37812339,なし,あり,なし,なし,あり,
4662,37812339,なし,なし,なし,なし,なし,
4666,37812340,なし,あり,なし,なし,なし,
4668,37812340,なし,なし,なし,なし,なし,
4671,37812340,なし,なし,なし,なし,なし,
4674,37812342,なし,なし,なし,なし,なし,
4678,37852178,なし,なし,なし,なし,なし,
4679,37852184,なし,なし,なし,なし,なし,
4683,37852188,なし,なし,なし,なし,なし,
4684,37852188,なし,なし,なし,なし,なし,
4687,37852188,なし,なし,なし,なし,なし,
4688,37852188,なし,なし,なし,なし,なし,
4690,37852190,なし,なし,あり,なし,あり,
4692,37852190,なし,なし,なし,なし,あり,
4695,37912094,なし,あり,あり,なし,あり,
4701,37912094,なし,なし,なし,なし,あり,
4705,37922014,なし,あり,なし,なし,なし,
4715,38112165,なし,あり,なし,なし,なし,
4718,38112292,なし,なし,なし,なし,なし,
4723,38122056,なし,あり,あり,なし,なし,
4726,38122447,なし,なし,なし,なし,なし,
4731,38122464,なし,なし,なし,なし,なし,
4732,38122465,なし,なし,あり,なし,なし,
4735,38152182,なし,あり,なし,なし,なし,
4738,38152257,なし,あり,なし,なし,なし,
4740,38152458,なし,あり,あり,なし,なし,
4743,38152458,なし,なし,なし,なし,なし,
4747,38152459,なし,なし,なし,なし,なし,
4751,38152460,なし,なし,なし,なし,なし,
4752,38152460,なし,あり,なし,なし,なし,
4754,38152462,なし,なし,なし,なし,なし,
4759,38152463,なし,なし,なし,なし,なし,
4761,38212162,なし,なし,なし,なし,なし,
4764,38212225,なし,なし,なし,なし,なし,
4769,38212241,あり,あり,なし,なし,なし,
4771,38212353,なし,なし,なし,なし,なし,
4775,38212355,なし,なし,なし,なし,なし,
4778,38212356,なし,なし,なし,なし,なし,
4779,38212356,なし,なし,なし,なし,なし,
4780,38222156,なし,なし,なし,なし,なし,
4781,38222165,なし,なし,なし,なし,なし,
4782,38222166,なし,なし,なし,なし,なし,
4784,38232074,なし,なし,なし,なし,なし,
4787,38232131,なし,なし,なし,なし,なし,
4788,38232131,なし,なし,なし,なし,なし,
4791,38312306,なし,なし,なし,なし,なし,
4795,38312332,なし,なし,なし,なし,なし,
4800,38312333,なし,なし,なし,なし,なし,
4806,38312334,なし,あり,あり,なし,なし,
4810,38322057,なし,なし,あり,なし,なし,
4812,38322198,なし,なし,なし,なし,なし,
4813,38322218,なし,なし,なし,なし,なし,
4815,38332200,なし,なし,なし,なし,なし,
4816,38332202,なし,なし,なし,なし,なし,
4819,38342029,なし,なし,あり,なし,なし,
4820,38412429,なし,なし,あり,なし,なし,
4822,38412440,なし,なし,なし,なし,なし,
4824,38412441,なし,なし,あり,なし,なし,
4827,38412441,なし,なし,なし,なし,なし,
4830,38412442,なし,なし,なし,なし,なし,
4831,38422032,なし,なし,なし,なし,なし,
4833,38512293,なし,あり,あり,なし,なし,
4838,38512293,なし,なし,なし,なし,なし,
4845,38522047,なし,なし,なし,なし,なし,
4847,38552055,なし,なし,なし,なし,なし,
4848,38612102,なし,なし,なし,なし,なし,
4849,38612200,なし,なし,あり,なし,なし,
4854,38612237,なし,なし,あり,なし,なし,
4857,38632142,なし,なし,なし,なし,なし,
4859,38632186,なし,なし,なし,なし,なし,
4861,38632190,なし,なし,なし,なし,なし,
4864,38642006,なし,なし,なし,なし,なし,
4868,38642006,なし,なし,なし,なし,なし,
4871,38652081,なし,なし,なし,なし,なし,
4874,38712150,なし,なし,あり,なし,あり,
4879,38722183,なし,なし,なし,なし,なし,
4880,38732072,あり,なし,なし,なし,なし,
4884,38732074,なし,なし,なし,なし,なし,
4889,38812024,あり,なし,あり,なし,なし,
4890,38812024,なし,なし,あり,なし,なし,
4892,38812272,あり,なし,なし,なし,なし,
4894,38812276,なし,なし,あり,なし,あり,
4895,38812289,なし,なし,なし,なし,なし,
4898,38912096,なし,なし,なし,なし,なし,
4900,38912098,なし,あり,あり,なし,なし,
4908,38912099,なし,なし,あり,なし,なし,
4912,39112075,なし,なし,なし,なし,なし,
4916,39122064,あり,なし,あり,なし,なし,
4922,39122146,なし,あり,なし,なし,なし,
4927,39152023,あり,あり,あり,なし,なし,
4930,39152121,なし,なし,なし,なし,なし,
4935,39152125,なし,あり,なし,なし,なし,
4940,39152139,なし,なし,なし,なし,なし,
4941,39152139,なし,なし,なし,なし,なし,
4942,39152139,なし,なし,なし,なし,なし,
4944,39212097,あり,なし,なし,なし,なし,
4948,39212097,なし,なし,なし,なし,なし,
4949,39212111,なし,なし,なし,なし,なし,
4960,39232037,なし,なし,なし,なし,なし,
4966,39252079,なし,あり,あり,あり,なし,
4970,39252079,なし,なし,なし,なし,なし,
4979,39252081,なし,あり,あり,なし,なし,
4984,39252081,なし,なし,なし,なし,なし,
4996,39312062,あり,なし,あり,なし,なし,
4999,39312101,なし,あり,なし,なし,なし,
5001,39412094,なし,なし,なし,なし,なし,
5003,39432023,なし,なし,あり,なし,なし,
5004,39432036,なし,あり,なし,なし,なし,
5007,39512061,あり,あり,なし,なし,なし,
5013,39612071,なし,あり,なし,なし,なし,
5017,39622005,なし,なし,なし,なし,なし,
5018,39622037,なし,なし,なし,なし,なし,
5022,39722049,あり,なし,あり,なし,なし,
5024,40122266,なし,なし,あり,なし,なし,
5028,40122266,なし,なし,なし,なし,なし,
5031,40132109,あり,なし,あり,あり,なし,
5034,40132111,なし,なし,あり,なし,なし,
5039,40152277,あり,あり,あり,なし,なし,
5043,40212049,なし,なし,あり,なし,なし,
5046,40222047,あり,なし,あり,あり,なし,
5048,40222047,なし,なし,なし,なし,なし,
5049,40222047,なし,なし,なし,なし,なし,
5050,40222047,なし,なし,なし,なし,なし,
5051,40232048,なし,なし,なし,なし,なし,
5053,40232048,なし,なし,なし,なし,なし,
5054,40322125,なし,なし,なし,なし,なし,
5055,40322125,なし,なし,なし,なし,なし,
5056,40512187,なし,なし,あり,なし,なし,
5060,40512189,なし,なし,あり,なし,なし,
5061,40612125,あり,なし,あり,なし,なし,
5065,40622068,なし,なし,なし,なし,あり,
5066,40712153,なし,なし,あり,なし,なし,
5072,40712153,なし,なし,なし,なし,なし,
5074,40722016,なし,あり,なし,なし,なし,
5077,40852086,なし,あり,あり,なし,なし,
5081,40852086,あり,なし,なし,なし,なし,
5084,41222016,なし,なし,なし,なし,なし,
5092,41222016,なし,なし,なし,なし,なし,
5096,41432012,なし,なし,なし,なし,なし,
5099,42122036,なし,なし,なし,なし,なし,
5100,42332012,なし,あり,なし,なし,なし,
5105,42332012,なし,なし,なし,なし,あり,
5106,42432025,なし,なし,なし,なし,なし,
5109,42452011,あり,なし,なし,なし,なし,
5111,42812075,なし,なし,なし,なし,なし,
5117,43132010,あり,あり,あり,なし,なし,
5124,43132034,なし,あり,なし,なし,なし,
5130,43142019,なし,あり,なし,なし,なし,
5133,43142019,なし,なし,なし,なし,なし,
5134,43152122,なし,なし,なし,なし,なし,
5137,43152122,なし,なし,なし,なし,なし,
5138,43152137,なし,なし,あり,なし,なし,
5140,43152137,なし,あり,なし,なし,なし,
5142,43152137,なし,なし,なし,なし,なし,
5148,43212095,なし,なし,なし,なし,なし,
5150,43212102,なし,なし,なし,なし,なし,
5153,43312089,なし,なし,なし,なし,なし,
5154,43332042,あり,なし,なし,なし,なし,
5156,43332052,なし,あり,なし,なし,なし,
5161,43332052,なし,なし,なし,なし,なし,
5170,43432021,なし,なし,なし,なし,なし,
5173,43512008,なし,なし,なし,なし,なし,
5174,43512057,なし,なし,なし,なし,なし,
5175,43512097,なし,なし,なし,なし,なし,
5176,43512097,なし,なし,なし,なし,なし,
5178,43512097,なし,なし,なし,なし,なし,
5180,43522030,なし,なし,なし,なし,なし,
5181,43612059,なし,あり,なし,なし,なし,
5185,43612059,なし,なし,なし,なし,なし,
5193,43622028,なし,なし,なし,なし,なし,
5194,43632041,なし,なし,なし,なし,なし,
5196,43632057,なし,なし,なし,なし,なし,
5199,43912028,なし,なし,なし,なし,なし,
5200,43912028,なし,あり,なし,なし,なし,
5204,43912028,なし,なし,なし,なし,なし,
5210,43912028,なし,なし,なし,なし,なし,
5211,44122116,なし,なし,なし,なし,なし,
5212,44222005,なし,なし,なし,なし,なし,
5218,44232094,なし,なし,なし,なし,なし,
5220,44252063,なし,あり,なし,なし,なし,
5224,44252070,なし,なし,なし,なし,なし,
5226,44252071,なし,なし,なし,なし,なし,
5229,44252072,なし,あり,なし,なし,なし,
5234,44312069,なし,なし,なし,なし,なし,
5235,44312069,なし,あり,なし,なし,なし,
5243,44312090,なし,なし,なし,なし,なし,
5245,44412076,なし,あり,なし,なし,なし,
5251,44522035,なし,なし,なし,なし,なし,
5252,44552022,なし,なし,なし,なし,なし,
5253,44632065,なし,あり,なし,なし,なし,
5261,44632065,なし,なし,なし,なし,なし,
5264,44632065,なし,なし,なし,なし,なし,
5265,44732009,なし,なし,なし,なし,なし,
5266,44752036,なし,なし,なし,なし,なし,
5268,44812085,なし,なし,あり,なし,あり,
5273,44812085,なし,なし,なし,なし,なし,
5275,44912041,なし,あり,なし,なし,なし,
5282,44912041,なし,なし,なし,なし,なし,
5287,45112010,なし,なし,なし,なし,なし,
5289,45112043,なし,なし,なし,なし,あり,
5291,45112179,なし,あり,なし,なし,あり,
5301,45112185,なし,あり,あり,なし,あり,
5309,45112186,なし,なし,なし,なし,あり,
5312,45112187,なし,あり,あり,なし,あり,
5318,45122095,なし,なし,なし,なし,なし,
5320,45122226,なし,あり,あり,なし,あり,
5328,45122321,なし,なし,なし,なし,あり,
5332,45132018,なし,なし,なし,なし,なし,
5336,45152111,あり,あり,なし,なし,あり,
5342,45152253,なし,あり,なし,なし,あり,
5346,45152269,なし,なし,なし,なし,なし,
5347,45152270,なし,なし,あり,なし,あり,
5351,45152297,なし,なし,あり,なし,あり,
5355,45152298,なし,なし,あり,なし,あり,
5358,45212078,なし,あり,なし,なし,あり,
5364,45212133,なし,あり,あり,なし,あり,
5376,45212133,なし,なし,なし,なし,なし,
5379,45222017,なし,なし,あり,なし,あり,
5383,45222075,なし,なし,なし,なし,あり,
5386,45222107,なし,あり,なし,なし,あり,
5391,45232085,なし,なし,あり,なし,あり,
5393,45252172,なし,なし,なし,なし,なし,
5394,45252179,なし,あり,あり,なし,あり,
5401,45312051,なし,あり,なし,なし,なし,
5405,45312058,なし,なし,あり,なし,あり,
5411,45312184,なし,あり,あり,なし,あり,
5423,45312245,なし,なし,あり,なし,あり,
5424,45322022,なし,なし,あり,なし,あり,
5426,45322136,なし,なし,なし,なし,あり,
5428,45322142,なし,なし,なし,なし,なし,
5431,45412012,なし,あり,なし,なし,あり,
5442,45412179,なし,なし,あり,なし,なし,
5443,45412219,なし,あり,なし,なし,あり,
5450,45412260,なし,なし,あり,なし,あり,
5451,45412273,なし,あり,あり,なし,あり,
5453,45412273,なし,なし,なし,なし,なし,
5461,45452057,なし,あり,なし,なし,あり,
5464,45452062,なし,なし,なし,なし,あり,
5465,45452063,なし,なし,なし,なし,あり,
5469,45452064,なし,なし,なし,なし,あり,
5472,45512079,なし,なし,なし,なし,あり,
5473,45512086,なし,なし,なし,なし,なし,
5475,45612049,なし,なし,なし,なし,あり,
5477,45612126,なし,なし,あり,なし,あり,
5485,45612132,なし,なし,あり,なし,なし,
5488,45612136,なし,なし,なし,なし,なし,
5496,45632119,なし,なし,なし,なし,あり,
5499,45632122,なし,あり,あり,なし,あり,
5501,45632122,なし,なし,なし,なし,あり,
5509,45652045,なし,あり,あり,なし,あり,
5513,45652045,なし,なし,なし,なし,なし,
5514,45722006,なし,あり,あり,なし,なし,
5523,45722021,なし,なし,なし,なし,あり,
5524,45722139,なし,あり,なし,なし,あり,
5536,45722150,なし,なし,あり,なし,なし,
5539,45732016,なし,あり,あり,なし,あり,
5549,45732052,なし,あり,あり,なし,あり,
5557,45752080,なし,なし,なし,なし,あり,
5558,45812055,なし,あり,あり,なし,あり,
5565,45812089,あり,なし,なし,なし,なし,
5567,45832002,なし,あり,なし,なし,あり,
5576,45852088,なし,なし,あり,なし,あり,
5582,45912065,なし,なし,あり,なし,あり,
5586,46812021,なし,なし,あり,なし,なし,
5588,47152081,なし,なし,なし,なし,なし,
5591,47152081,なし,なし,なし,なし,なし,
5593,47312044,なし,あり,あり,なし,なし,
5596,47312044,なし,なし,なし,なし,なし,
5603,47412079,なし,なし,あり,なし,なし,
5604,47722026,なし,なし,あり,なし,なし,
5607,47812016,なし,なし,なし,なし,なし,
5608,47812016,なし,なし,なし,なし,なし,
5609,50852023,なし,なし,なし,なし,なし,
5611,50852023,なし,なし,なし,なし,なし,
5613,53112141,なし,なし,あり,なし,なし,
5618,53112219,なし,なし,なし,なし,なし,
5620,53112422,なし,あり,なし,なし,なし,
5626,53112452,なし,なし,あり,なし,なし,
5629,53112452,なし,なし,なし,なし,なし,
5631,53122629,なし,なし,あり,なし,なし,
5637,53122650,あり,なし,なし,なし,なし,
5639,53122752,なし,なし,なし,なし,なし,
5642,53122754,なし,なし,なし,なし,なし,
5646,53122754,あり,なし,なし,なし,なし,
5651,53122782,なし,なし,あり,なし,なし,
5653,53122783,なし,なし,なし,なし,なし,
5657,53122787,なし,あり,あり,なし,なし,
5663,53122787,なし,なし,なし,なし,なし,
5668,53122787,なし,なし,なし,なし,なし,
5671,53122788,なし,あり,あり,なし,なし,
5679,53122788,なし,なし,なし,なし,なし,
5684,53122788,なし,なし,なし,なし,なし,
5685,53122789,なし,あり,あり,なし,なし,
5688,53122789,なし,なし,なし,なし,なし,
5695,53122789,なし,なし,なし,なし,なし,
5698,53122790,なし,なし,あり,なし,なし,
5703,53122791,なし,なし,あり,なし,なし,
5706,53132178,なし,なし,なし,なし,なし,
5707,53132202,なし,なし,なし,なし,なし,
5709,53132223,なし,なし,あり,なし,なし,
5712,53132224,なし,なし,あり,なし,なし,
5714,53132225,なし,あり,あり,なし,なし,
5720,53132225,なし,なし,なし,なし,なし,
5724,53132226,なし,なし,あり,なし,なし,
5727,53132226,なし,あり,なし,なし,なし,
5729,53132226,なし,なし,なし,なし,なし,
5730,53142017,なし,なし,なし,なし,なし,
5732,53152082,あり,なし,あり,なし,なし,
5736,53152225,なし,なし,あり,なし,なし,
5737,53152327,なし,なし,なし,なし,なし,
5738,53152438,あり,なし,なし,なし,なし,
5739,53152649,なし,なし,なし,なし,なし,
5740,53152704,なし,あり,あり,なし,なし,
5749,53152729,なし,なし,なし,なし,なし,
5750,53152729,なし,なし,なし,なし,なし,
5753,53152732,なし,なし,あり,なし,なし,
5755,53152732,なし,あり,なし,なし,なし,
5759,53152732,なし,なし,あり,なし,なし,
5768,53152734,なし,あり,あり,なし,なし,
5775,53212139,なし,なし,なし,なし,なし,
5779,53212139,なし,なし,なし,なし,なし,
5780,53212178,あり,なし,あり,なし,なし,
5782,53212478,なし,なし,あり,なし,なし,
5785,53212533,なし,なし,なし,なし,なし,
5787,53212585,なし,なし,なし,なし,なし,
5789,53212593,なし,なし,なし,なし,なし,
5791,53212608,なし,なし,なし,なし,なし,
5794,53212614,なし,なし,なし,なし,なし,
5795,53212614,なし,なし,なし,なし,なし,
5796,53212645,なし,なし,なし,なし,なし,
5800,53212653,なし,なし,あり,なし,なし,
5803,53212653,なし,なし,なし,なし,なし,
5804,53212653,なし,あり,なし,なし,なし,
5806,53212653,なし,なし,なし,なし,なし,
5807,53212654,なし,なし,なし,なし,なし,
5808,53212654,なし,なし,なし,なし,なし,
5810,53222091,あり,なし,なし,なし,なし,
5812,53222188,なし,なし,あり,なし,なし,
5820,53222267,なし,なし,あり,なし,なし,
5822,53232103,なし,なし,なし,なし,なし,
5823,53232238,なし,あり,なし,なし,なし,
5829,53252463,なし,なし,なし,なし,なし,
5832,53252467,なし,なし,あり,なし,なし,
5835,53252474,なし,なし,あり,なし,なし,
5838,53252474,なし,なし,なし,なし,なし,
5840,53312011,あり,なし,なし,なし,なし,
5843,53312041,なし,なし,なし,なし,なし,
5845,53312181,なし,なし,なし,なし,なし,
5849,53312310,なし,なし,なし,なし,なし,
5853,53312572,なし,なし,あり,なし,なし,
5856,53312574,なし,あり,あり,なし,なし,
5859,53312574,なし,なし,なし,なし,なし,
5860,53322379,なし,あり,あり,なし,なし,
5864,53332197,なし,なし,なし,なし,なし,
5865,53332197,なし,なし,なし,なし,なし,
5866,53332335,なし,なし,なし,なし,なし,
5868,53332336,なし,なし,なし,なし,なし,
5870,53332341,なし,あり,あり,なし,なし,
5878,53332341,なし,なし,なし,なし,なし,
5881,53332342,なし,あり,あり,なし,なし,
5884,53332342,なし,なし,なし,なし,なし,
5886,53342050,あり,なし,なし,なし,なし,
5893,53342090,なし,なし,なし,なし,なし,
5895,53342090,なし,なし,なし,なし,なし,
5900,53342090,なし,なし,なし,なし,なし,
5902,53342102,なし,なし,あり,なし,なし,
5903,53342103,なし,なし,あり,なし,なし,
5905,53342103,なし,なし,なし,なし,なし,
5911,53342103,なし,あり,なし,なし,なし,
5913,53412558,なし,なし,なし,なし,なし,
5915,53412622,なし,あり,あり,なし,なし,
5923,53412729,なし,なし,なし,なし,なし,
5925,53412736,なし,なし,なし,なし,なし,
5927,53412745,なし,なし,あり,なし,なし,
5929,53412746,なし,なし,あり,なし,なし,
5931,53412747,なし,なし,なし,なし,なし,
5932,53412747,なし,なし,あり,なし,なし,
5937,53412747,なし,なし,なし,なし,なし,
5939,53412748,なし,なし,なし,なし,なし,
5942,53432164,なし,なし,なし,なし,なし,
5946,53432174,なし,なし,なし,なし,なし,
5947,53452149,なし,なし,なし,なし,なし,
5948,53452149,なし,なし,なし,なし,なし,
5952,53452149,なし,なし,なし,なし,なし,
5953,53452156,なし,なし,なし,なし,なし,
5957,53452158,なし,なし,あり,なし,なし,
5962,53512176,あり,なし,なし,なし,なし,
5963,53512425,なし,なし,なし,なし,なし,
5964,53512425,なし,あり,あり,あり,なし,
5971,53512483,なし,なし,あり,なし,なし,
5973,53512484,なし,なし,なし,なし,なし,
