,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
988,2812740,1B2201,28080,1,28080,20001637527,4
997,2852169,1B2201,28080,1,28080,20001630653,4
1011,2852369,200071,16200,1,16200,20001631422,2
1018,2912264,1B2201,28080,1,28080,20001629926,4
1023,2912282,200071,16200,1,16200,20001628551,2
1030,3112049,200071,16200,1,16200,30000234151,2
1037,3112049,1B2201,28080,1,28080,30000236172,4
1058,3342015,200071,16200,1,16200,30000235402,2
1067,3512047,200071,16200,1,16200,30000235392,2
1069,3632034,200006,8640,1,8640,30000234921,1
1076,3712033,1B2201,28080,1,28080,30000234306,4
1084,3722051,1B2201,28080,1,28080,30000235982,4
1101,5111146,200006,8640,1,8640,20001637981,1
1104,5141032,200071,16200,1,16200,20001630411,2
1106,5222012,200006,8640,1,8640,530000900991,1
1108,5332132,200006,8640,1,8640,1430000221741,1
1110,5342037,1B2201,28080,1,28080,530000902371,4
1140,5522050,1B2201,28080,1,28080,1120000058921,4
1162,5752067,200006,8640,1,8640,110000408721,1
1164,6112072,200006,8640,1,8640,320000507141,1
1175,6112433,1B2201,28080,1,28080,60000740423,4
1179,6112434,1A1601,82080,1,82080,60000734572,3
1201,6122048,1B2201,28080,1,28080,530000896871,4
1209,6122048,200006,8640,1,8640,530000903101,1
1211,6122292,200006,8640,1,8640,60000740651,1
1213,6122540,200006,8640,1,8640,60000736001,1
1237,6122762,1B2201,28080,1,28080,60000737202,4
1246,6122763,1B2201,28080,1,28080,60000739721,4
1253,6122772,200071,16200,1,16200,60000737851,2
1256,6122773,200071,16200,1,16200,60000738232,2
1260,6132191,200006,8640,1,8640,60000735872,1
1268,6132195,200006,8640,1,8640,60000736472,1
1276,6142101,200071,16200,1,16200,60000735661,2
1281,6152160,200006,8640,1,8640,60000738371,1
1289,6152195,1B2201,28080,1,28080,1310000052231,4
1299,6152221,1B2201,28080,1,28080,60000740153,4
1309,6152313,200006,8640,1,8640,60000734551,1
1323,6152550,1B2201,28080,1,28080,60000737702,4
1336,6152598,1B2201,28080,1,28080,60000737626,4
1349,6152634,1B2201,28080,1,28080,60000739562,4
1353,6152645,200006,8640,1,8640,60000738061,1
1355,6152647,200071,16200,1,16200,60000739791,2
1360,6152658,200006,8640,1,8640,60000740503,1
1384,6152671,1A1501,105840,1,105840,60000740282,5
1386,6152671,1B2201,28080,1,28080,60000740284,4
1389,6212125,200071,16200,1,16200,90000784541,2
1405,6212467,1B2201,28080,1,28080,290000366401,4
1410,6212477,200071,16200,1,16200,60000739181,2
1414,6212495,200006,8640,1,8640,160000640291,1
1418,6212514,200006,8640,1,8640,60000737721,1
1426,6212579,1B2201,28080,1,28080,60000735023,4
1432,6212579,1B2201,28080,1,28080,60000735029,4
1437,6212589,1A1501,105840,1,105840,60000735912,5
1466,6232230,200071,16200,1,16200,60000736551,2
1482,6232262,200006,8640,1,8640,60000735151,1
1487,6232262,1A1501,105840,1,105840,60000738381,5
1499,6232263,200006,8640,1,8640,60000736661,1
1513,6252219,1B2201,28080,1,28080,60000738763,4
1516,6252378,1B2201,28080,1,28080,60000734901,4
1535,6312116,200006,8640,1,8640,60000738661,1
1542,6312500,1B2201,28080,1,28080,60000736164,4
1556,6322157,200071,16200,1,16200,530000900781,2
1567,6322270,1B2201,28080,1,28080,60000738095,4
1578,6322338,1A1501,105840,1,105840,60000739862,5
1580,6322338,1B2201,28080,1,28080,60000739864,4
1582,6331012,200006,8640,1,8640,60000737591,1
1588,6332288,200006,8640,1,8640,60000736971,1
1590,6332295,1B2201,28080,1,28080,60000737831,4
1599,6342072,200071,16200,1,16200,60000738581,2
1627,6412190,200006,8640,1,8640,60000737111,1
1631,6412555,200006,8640,1,8640,850000603371,1
1657,6412675,1A1501,105840,1,105840,60000737772,5
1669,6412677,200071,16200,1,16200,60000739922,2
1681,6422007,200071,16200,1,16200,60000735521,2
1685,6422044,1A1501,105840,1,105840,60000736371,5
1697,6432044,200006,8640,1,8640,880000050481,1
1700,6432132,200071,16200,1,16200,60000736961,2
1708,6452136,1B2201,28080,1,28080,60000736814,4
1709,6452136,1B2201,28080,1,28080,60000736815,4
1719,6512336,1B2201,28080,1,28080,60000739191,4
1731,6512415,1A1601,82080,1,82080,60000739282,3
1739,6522053,200006,8640,1,8640,320000509561,1
1747,6552073,1A1501,105840,1,105840,60000738162,5
1761,6612107,200006,8640,1,8640,1430000227261,1
1770,6612346,200006,8640,1,8640,60000736781,1
1774,6612356,200006,8640,1,8640,60000739051,1
1780,6622158,200006,8640,1,8640,90000786091,1
1786,6622170,1B2201,28080,1,28080,60000738694,4
1789,6622194,1A1601,82080,1,82080,60000739411,3
1799,6632263,1B2201,28080,1,28080,60000738644,4
1802,6632266,200006,8640,1,8640,90000785382,1
1808,6632266,1B2201,28080,1,28080,90000785388,4
1816,6632289,200006,8640,1,8640,60000737051,1
1821,6632291,1B2201,28080,1,28080,60000734682,4
1844,6632299,1A1501,105840,1,105840,60000739272,5
1862,6652156,1A1601,82080,1,82080,60000739372,3
1887,6722275,1A1601,82080,1,82080,60000740412,3
1890,6732092,200071,16200,1,16200,60000736241,2
1894,6732092,1B2201,28080,1,28080,60000736245,4
1902,6752152,1A1501,105840,1,105840,60000738882,5
1914,6811119,200006,8640,1,8640,890000085361,1
1916,6812142,1B2201,28080,1,28080,290000367461,4
1924,6812330,200006,8640,1,8640,60000735811,1
1939,6812445,200006,8640,1,8640,60000738963,1
1950,6852232,200071,16200,1,16200,60000736872,2
1956,6912175,200006,8640,1,8640,60000737061,1
1958,6912175,200071,16200,1,16200,60000737063,2
1963,6922021,200006,8640,1,8640,60000735361,1
1968,7122101,200071,16200,1,16200,70000145122,2
1983,7152105,1A1501,105840,1,105840,70000144152,5
2007,7152107,200071,16200,1,16200,70000144961,2
2018,7232030,200071,16200,1,16200,70000145011,2
2023,7252061,1A1501,105840,1,105840,70000144002,5
2036,7252062,1A1501,105840,1,105840,70000144602,5
2047,7332035,200071,16200,1,16200,70000144371,2
2054,7512075,200006,8640,1,8640,70000144902,1
2069,7632028,1A1501,105840,1,105840,70000144592,5
2080,7722036,1A1501,105840,1,105840,70000144942,5
2097,7852032,1A1501,105840,1,105840,70000144192,5
2099,7852032,1B2201,28080,1,28080,70000144194,4
2109,8511077,200071,16200,1,16200,160000640671,2
2113,9111022,200006,8640,1,8640,90000787531,1
2117,9112082,200006,8640,1,8640,390000123741,1
2123,9112196,200071,16200,1,16200,90000787411,2
2129,9121106,1B2201,28080,1,28080,90000784274,4
2136,9122305,200006,8640,1,8640,60000737761,1
2142,9122365,200006,8640,1,8640,90000784812,1
2148,9132090,200071,16200,1,16200,60000734961,2
2157,9152287,1A1601,82080,1,82080,90000784852,3
2167,9212167,200006,8640,1,8640,60000735171,1
2179,9251021,200006,8640,1,8640,60000738151,1
2188,9252149,1B2201,28080,1,28080,90000782803,4
2189,9252149,1B2201,28080,1,28080,90000782804,4
2197,9252182,1A1501,105840,1,105840,90000785161,5
2208,9252183,200006,8640,1,8640,90000786471,1
2213,9312200,1B2201,28080,1,28080,90000785002,4
2224,9332119,200006,8640,1,8640,60000738101,1
2242,9432031,200006,8640,1,8640,90000784531,1
2248,9442018,200071,16200,1,16200,90000787701,2
2253,9451010,1B2201,28080,1,28080,90000787363,4
2272,9522045,1B2201,28080,1,28080,90000785903,4
2290,9622078,1A1501,105840,1,105840,90000784821,5
2309,9722100,200006,8640,1,8640,2050000006361,1
2315,9912085,200006,8640,1,8640,90000783241,1
2320,9912085,200071,16200,1,16200,90000783246,2
2324,9912089,1B2201,28080,1,28080,90000786493,4
2329,10112176,1A1501,105840,1,105840,100001129281,5
